index,distance,x,y,z
0,0.000000,171.199996948,90.209999084,688.000000000
1,5.000000,175.992360800,89.984123263,688.001220703
2,10.000000,180.985397328,89.735942735,688.001220703
3,15.000000,185.977937615,89.463036028,688.001220703
4,20.000000,190.957316071,89.361688856,688.358522017
5,25.000000,195.799862967,89.342542789,689.581739033
6,30.000000,200.552956479,89.254491773,691.129981462
7,35.000000,205.274445939,88.964479244,692.747762228
8,40.000000,209.985467836,88.561596986,694.373749837
9,45.000000,214.701472798,88.227113233,695.999619643
10,50.000000,219.425120788,88.051741548,697.628138561
11,55.000000,224.151767963,88.019249285,699.257975508
12,60.000000,228.875596278,88.015722671,700.896690934
13,65.000000,233.573518957,88.017670403,702.607397744
14,70.000000,238.198346028,88.023953237,704.506252927
15,75.000000,242.765185245,88.020094768,706.541752565
16,80.000000,247.315027641,88.016382517,708.615131016
17,85.000000,251.898461269,88.019558598,710.612177581
18,90.000000,256.558102313,88.021899332,712.423584506
19,95.000000,261.270052547,88.017672675,714.095796451
20,100.000000,266.005395313,88.014223561,715.700944361
21,105.000000,270.737495502,88.018970355,717.315200460
22,110.000000,275.431152569,88.022939401,719.037216768
23,115.000000,280.077351361,88.022019290,720.884151151
24,120.000000,284.696008368,88.017063371,722.799236965
25,125.000000,289.311642876,88.015520112,724.721545812
26,130.000000,293.964929549,88.020185935,726.548679443
27,135.000000,298.687922363,88.026329118,728.185807191
28,140.000000,303.482960082,88.029458258,729.597595912
29,145.000000,308.342991408,88.027302866,730.766559707
30,150.000000,313.255987949,88.021481702,731.693289379
31,155.000000,318.197399515,88.014861303,732.456444626
32,160.000000,323.152445459,88.011385011,733.125404718
33,165.000000,328.118768642,88.014780942,733.703648806
34,170.000000,333.100799416,88.021459168,734.116667435
35,175.000000,338.094508681,88.028033523,734.338598353
36,180.000000,343.093618362,88.027955834,734.405381951
37,185.000000,348.093441374,88.018930665,734.375952806
38,190.000000,353.092710933,88.010045073,734.291149405
39,195.000000,358.091162427,88.017060170,734.166917964
40,200.000000,363.089146680,88.023763991,734.025367820
41,205.000000,368.086815584,88.025781344,733.872878925
42,210.000000,373.083265301,88.023873124,733.688331111
43,215.000000,378.076334018,88.021456372,733.432356096
44,220.000000,383.055852741,88.025730021,732.980277539
45,225.000000,388.009437890,88.030065015,732.308418311
46,230.000000,392.929111491,88.033087579,731.428405892
47,235.000000,397.805661546,88.033736301,730.333354510
48,240.000000,402.624755252,88.030640521,729.000565604
49,245.000000,407.380034177,88.022684160,727.456356861
50,250.000000,412.106836113,88.015817045,725.827262743
51,255.000000,416.812558166,88.012586395,724.137505110
52,260.000000,421.503914961,88.015144070,722.408013038
53,265.000000,426.184187548,88.021650798,720.648750073
54,270.000000,430.860471393,88.024804472,718.878920183
55,275.000000,435.536273464,88.024625331,717.107806399
56,280.000000,440.214466540,88.021024263,715.343012764
57,285.000000,444.931506811,88.020067287,713.684864332
58,290.000000,449.683906656,88.023598831,712.133350784
59,295.000000,454.466543783,88.027922289,710.676261348
60,300.000000,459.277857661,88.026343667,709.315652556
61,305.000000,464.126054007,88.022818209,708.094512410
62,310.000000,469.006648624,88.022503440,707.017091907
63,315.000000,473.920986718,88.026776738,706.095990125
64,320.000000,478.874655035,88.029385599,705.416900000
65,325.000000,483.837864615,88.026667878,704.815166266
66,330.000000,488.808947543,88.020039269,704.278732935
67,335.000000,493.786168121,88.013283087,703.802046790
68,340.000000,498.765071620,88.013996318,703.343434798
69,345.000000,503.743287431,88.018664916,702.878371489
70,350.000000,508.714840989,88.024136542,702.345806674
71,355.000000,513.674095817,87.998808940,701.713105617
72,360.000000,518.626311844,87.929909164,701.029834793
73,365.000000,523.571594519,87.737192325,700.317767746
74,370.000000,528.510500279,87.429315687,699.606030551
75,375.000000,533.443778484,87.038656054,698.894803283
76,380.000000,538.365368078,86.514959007,698.185086952
77,385.000000,543.273231621,85.877440535,697.477514141
78,390.000000,548.170245012,85.158592373,696.771591178
79,395.000000,553.047096429,84.308788959,696.068630007
80,400.000000,557.903375391,83.349108618,695.368713318
81,405.000000,562.744142409,82.311573724,694.671071274
82,410.000000,567.556337343,81.144602165,693.977560427
83,415.000000,572.342680833,79.875873398,693.287937970
84,420.000000,577.109840563,78.534402225,692.601100698
85,425.000000,581.839469639,77.062764018,691.919272430
86,430.000000,586.540633780,75.502801330,691.241132679
87,435.000000,591.220100313,73.876345798,690.565854312
88,440.000000,595.851820204,72.115497316,689.897585300
89,445.000000,600.456618745,70.285479619,689.233257286
90,450.000000,605.034450873,68.386176931,688.572876865
91,455.000000,609.559695984,66.362656732,687.920101028
92,460.000000,614.060705534,64.285436228,687.270850149
93,465.000000,618.522932211,62.123421535,686.627246579
94,470.000000,622.939862440,59.869296779,685.990122930
95,475.000000,627.333303973,57.568438361,685.356255490
96,480.000000,631.671232420,55.162272194,684.729564843
97,485.000000,635.978236147,52.700921916,684.107362731
98,490.000000,640.251881744,50.180045190,683.490002349
99,495.000000,644.471619435,47.568590508,682.880323624
100,500.000000,648.677032590,44.934145954,682.268758224
101,505.000000,652.866311129,42.279055884,681.635953324
102,510.000000,657.115882685,39.774172598,680.856464145
103,515.000000,661.440133002,37.455335016,679.895292225
104,520.000000,665.777893568,35.231005477,678.788099775
105,525.000000,670.118492367,33.040814737,677.621975489
106,530.000000,674.415442550,30.903415646,676.219212412
107,535.000000,678.745506132,28.923655118,674.718642976
108,540.000000,683.149595472,27.296299193,672.999425195
109,545.000000,687.625113028,25.982648512,671.223671586
110,550.000000,692.161385221,24.935825828,669.399830348
111,555.000000,697.024471596,24.371818071,668.673830819
112,560.000000,701.995881772,24.017950672,668.407950745
113,565.000000,706.977387293,24.023482760,668.837569339
114,570.000000,711.911657058,24.034347340,669.594225073
115,575.000000,716.787705254,24.048677370,670.676102949
116,580.000000,721.501061165,24.059839690,672.344680627
117,585.000000,726.030506015,24.065677004,674.446963661
118,590.000000,730.494823039,24.052071780,676.698352426
119,595.000000,734.980038616,24.032863710,678.905491059
120,600.000000,739.554414480,24.035867301,680.919157169
121,605.000000,744.245981150,24.036678319,682.647621755
122,610.000000,749.039755382,24.023543941,684.068732622
123,615.000000,753.875523803,24.013112995,685.337749569
124,620.000000,758.734481375,24.009608738,686.516016377
125,625.000000,763.606428407,24.013621305,687.640083490
126,630.000000,768.485502755,24.022074935,688.733002073
127,635.000000,773.368459510,24.028153956,689.808500274
128,640.000000,778.253920316,24.025113883,690.872577446
129,645.000000,783.140442122,24.019895898,691.931759976
130,650.000000,788.028388502,24.016372100,692.984344174
131,655.000000,792.921714720,24.016699211,694.010780711
132,660.000000,797.831793071,24.021768487,694.954764232
133,665.000000,802.777994307,24.029259617,695.683077867
134,670.000000,807.744537288,24.032520763,696.249208192
135,675.000000,812.724957070,24.029610822,696.687307785
136,680.000000,817.712839015,24.018772954,697.035037928
137,685.000000,822.704830561,24.012920159,697.317593056
138,690.000000,827.698211319,24.015212290,697.574031192
139,695.000000,832.692593586,24.021711857,697.810724885
140,700.000000,837.687659751,24.026551455,698.032739700
141,705.000000,842.683059230,24.024948986,698.247145739
142,710.000000,847.678541873,24.021575546,698.459606813
143,715.000000,852.674276275,24.017679276,698.665458905
144,720.000000,857.671652698,24.017359163,698.827411919
145,725.000000,862.670802547,24.021501365,698.854868325
146,730.000000,867.666964702,24.029082182,698.731295737
147,735.000000,872.653305685,24.040687023,698.362149519
148,740.000000,877.599743559,24.049209865,697.648301136
149,745.000000,882.503219848,24.052482183,696.695738994
150,750.000000,887.351516983,24.048472757,695.473446551
151,755.000000,892.073064485,24.041962799,693.832565043
152,760.000000,896.716066842,24.035843763,691.988166645
153,765.000000,901.277265140,24.030412529,689.939889176
154,770.000000,905.714775441,24.026705292,687.636371165
155,775.000000,910.080357925,24.025914829,685.203292238
156,780.000000,914.369962789,24.028309596,682.634385004
157,785.000000,918.459955147,24.036544901,679.759191213
158,790.000000,922.427561058,24.044029802,676.723848877
159,795.000000,926.249209073,24.050273082,673.499726132
160,800.000000,929.812968036,24.048299598,669.994810102
161,805.000000,933.267612315,24.042164993,666.383350677
162,810.000000,936.575338299,24.030125684,662.633843527
163,815.000000,939.760913682,24.019303292,658.780855031
164,820.000000,942.873704358,24.012120409,654.869241728
165,825.000000,945.841589006,24.016450522,650.845357787
166,830.000000,948.631862542,24.027874727,646.699533360
167,835.000000,951.308348643,24.043072241,642.476896243
168,840.000000,953.666834288,24.052011245,638.068102127
169,845.000000,955.902112202,24.053157268,633.598399643
170,850.000000,957.972960806,24.043903013,629.047410693
171,855.000000,959.897062606,24.027634535,624.433156743
172,860.000000,961.757899468,24.012312002,619.792828747
173,865.000000,963.480730174,24.010283327,615.099018967
174,870.000000,965.119372715,24.013489237,610.375953674
175,875.000000,966.678858336,24.021616905,605.625381231
176,880.000000,968.153881072,24.026077297,600.848048589
177,885.000000,969.606194534,24.028352065,596.063652798
178,890.000000,971.020554625,24.023199075,591.267867254
179,895.000000,972.407845659,24.018624283,586.464270719
180,900.000000,973.765718756,24.014677861,581.652185404
181,905.000000,975.002925942,24.016921446,576.808144776
182,910.000000,976.194114257,24.021204812,571.952324904
183,915.000000,977.200176987,24.029384443,567.054593707
184,920.000000,978.167091947,24.034231991,562.149323787
185,925.000000,979.051357421,24.032044782,557.228137976
186,930.000000,979.901598575,24.025486307,552.301054619
187,935.000000,980.726661166,24.015693022,547.369606980
188,940.000000,981.523509785,24.014484730,542.433532904
189,945.000000,982.312769991,24.015412106,537.496222469
190,950.000000,983.074407115,24.020560580,532.554574729
191,955.000000,983.812688244,24.024759138,527.609550614
192,960.000000,984.481469396,24.026131049,522.654479485
193,965.000000,985.091380131,24.028279705,517.692252146
194,970.000000,985.629256241,24.031378796,512.721268371
195,975.000000,986.087816235,24.030801375,507.742709166
196,980.000000,986.500613404,24.028102728,502.759779183
197,985.000000,986.810267042,24.023583128,497.769638556
198,990.000000,987.094932953,24.018622382,492.777751066
199,995.000000,987.291715240,24.015993263,487.781656100
200,1000.000000,987.480179555,24.013905558,482.785229925
201,1005.000000,987.627406373,24.015633931,477.787398267
202,1010.000000,987.769223914,24.017828979,472.789419988
203,1015.000000,987.893421627,24.021544139,467.790964114
204,1020.000000,988.013245213,24.024265165,462.792404558
205,1025.000000,988.124971262,24.025145816,457.793653062
206,1030.000000,988.234096323,24.024752387,452.794845059
207,1035.000000,988.340086372,24.022823287,447.795968947
208,1040.000000,988.444489919,24.021058616,442.797059593
209,1045.000000,988.547611693,24.019426790,437.798123382
210,1050.000000,988.649013573,24.019028887,432.799151979
211,1055.000000,988.749490348,24.019294694,427.800161646
212,1060.000000,988.806454661,24.020494940,422.800554843
213,1065.000000,988.847676738,24.022033254,417.800725008
214,1070.000000,988.771849379,24.025663810,412.801633274
215,1075.000000,988.667677862,24.029801014,407.802720274
216,1080.000000,988.451181033,24.030876863,402.807610948
217,1085.000000,988.216816493,24.031465738,397.813106677
218,1090.000000,987.922398579,24.026055492,392.821823103
219,1095.000000,987.621780860,24.020025908,387.830872028
220,1100.000000,987.288148278,24.017571372,382.842023708
221,1105.000000,986.952257985,24.015361314,377.853319184
222,1110.000000,986.596808521,24.018819211,372.865972929
223,1115.000000,986.240370370,24.022563614,367.878695333
224,1120.000000,985.873828212,24.024304802,362.892149566
225,1125.000000,985.506799632,24.025949552,357.905639031
226,1130.000000,985.133433301,24.024431533,352.919599302
227,1135.000000,984.759677189,24.022718998,347.933588529
228,1140.000000,984.322955934,24.022469126,342.952734292
229,1145.000000,983.880470790,24.022353147,337.972352089
230,1150.000000,983.258154829,24.027391464,333.011697078
231,1155.000000,982.610587663,24.033153528,328.053812089
232,1160.000000,981.707564379,24.041810328,323.137486990
233,1165.000000,980.750312261,24.051081629,318.229984323
234,1170.000000,979.521801305,24.056068149,313.385780171
235,1175.000000,978.207927429,24.059706284,308.561495540
236,1180.000000,976.637053028,24.058598874,303.818196877
237,1185.000000,974.947745563,24.055304584,299.112218823
238,1190.000000,973.037502217,24.051295254,294.495665967
239,1195.000000,970.977943456,24.046802677,289.939549471
240,1200.000000,968.777359420,24.041952795,285.452633129
241,1205.000000,966.433971625,24.036741102,281.035789632
242,1210.000000,964.029077091,24.031042005,276.653038545
243,1215.000000,961.525401924,24.024560131,272.325040319
244,1220.000000,958.984467882,24.019603569,268.019444715
245,1225.000000,956.335717929,24.019060801,263.778675516
246,1230.000000,953.661268779,24.019646052,259.554918379
247,1235.000000,950.792358241,24.028766822,255.459888570
248,1240.000000,947.923447703,24.037887591,251.364858761
249,1245.000000,944.792364591,24.047985992,247.467138417
250,1250.000000,941.651559118,24.058120648,243.576735061
251,1255.000000,938.283757313,24.061859068,239.884146119
252,1260.000000,934.859183310,24.063997779,236.241030924
253,1265.000000,931.260805945,24.061953163,232.774824356
254,1270.000000,927.557651831,24.057386641,229.415266535
255,1275.000000,923.739620271,24.053177821,226.193299741
256,1280.000000,919.773032676,24.049431568,223.149261499
257,1285.000000,915.749602144,24.046840944,220.186073765
258,1290.000000,911.542779636,24.047978717,217.483733466
259,1295.000000,907.330582114,24.049177705,214.790584673
260,1300.000000,902.912626579,24.052720044,212.449290940
261,1305.000000,898.494671044,24.056262383,210.107997207
262,1310.000000,893.932430867,24.058211357,208.068775273
263,1315.000000,889.334740505,24.059768847,206.103771225
264,1320.000000,884.652816924,24.059681932,204.361071685
265,1325.000000,879.907417416,24.058355836,202.785894950
266,1330.000000,875.124334611,24.056791527,201.342297954
267,1335.000000,870.264522346,24.054742174,200.166619195
268,1340.000000,865.399042291,24.052524231,199.018622180
269,1345.000000,860.468241989,24.048363309,198.189652298
270,1350.000000,855.537441687,24.044202386,197.360682416
271,1355.000000,850.580855955,24.036798518,196.708604545
272,1360.000000,845.618625700,24.028684758,196.095248967
273,1365.000000,840.649538482,24.021067698,195.542955179
274,1370.000000,835.674847422,24.013856566,195.040564040
275,1375.000000,830.698657348,24.009195210,194.553929701
276,1380.000000,825.718398497,24.011454718,194.110064101
277,1385.000000,820.738139646,24.013714226,193.666198501
278,1390.000000,815.755469172,24.019010967,193.250327839
279,1395.000000,810.772742886,24.024378000,192.835105066
280,1400.000000,805.789260581,24.026953967,192.429084651
281,1405.000000,800.805413441,24.028183040,192.027505053
282,1410.000000,795.821380097,24.027870944,191.628258744
283,1415.000000,790.837016702,24.024827063,191.233148283
284,1420.000000,785.852640242,24.021805815,190.838203445
285,1425.000000,780.867913236,24.019391849,190.447702675
286,1430.000000,775.883186231,24.016977882,190.057201905
287,1435.000000,770.897380327,24.016843024,189.680836059
288,1440.000000,765.911112708,24.017683515,189.310519279
289,1445.000000,760.924173760,24.018966077,188.949580954
290,1450.000000,755.936008769,24.021055990,188.605770456
291,1455.000000,750.947843778,24.023145903,188.261959959
292,1460.000000,745.958715942,24.023646842,187.932411102
293,1465.000000,740.969584684,24.024142133,187.602912940
294,1470.000000,735.980165510,24.023594700,187.277822471
295,1475.000000,730.990575871,24.022429905,186.955341654
296,1480.000000,726.000915783,24.021319445,186.633958210
297,1485.000000,721.011043027,24.020373015,186.315887497
298,1490.000000,716.021170270,24.019426585,185.997816785
299,1495.000000,711.031141578,24.019631160,185.682202472
300,1500.000000,706.041087221,24.020025173,185.366992445
301,1505.000000,701.050997882,24.020701719,185.052337921
302,1510.000000,696.060867082,24.021713125,184.738341785
303,1515.000000,691.070736318,24.022689224,184.424345009
304,1520.000000,686.080606304,24.022926963,184.110334831
305,1525.000000,681.090476291,24.023164702,183.796324653
306,1530.000000,676.100353754,24.022907901,183.482195950
307,1535.000000,671.110235746,24.022351486,183.167995440
308,1540.000000,666.120102763,24.021811605,182.854033225
309,1545.000000,661.129905477,24.021342717,182.541094214
310,1550.000000,656.139708190,24.020873830,182.228155203
311,1555.000000,651.147508969,24.020867733,181.949701269
312,1560.000000,646.154621416,24.021020758,181.683104464
313,1565.000000,641.161793065,24.079933842,181.442129118
314,1570.000000,636.169110590,24.283633155,181.264285676
315,1575.000000,631.176428114,24.487332468,181.086442234
316,1580.000000,626.294743334,25.492228475,180.975183326
317,1585.000000,621.437823803,26.675883470,180.878780427
318,1590.000000,616.688360774,28.172317488,180.797224949
319,1595.000000,612.131690356,30.229922603,180.742307907
320,1600.000000,607.575019937,32.287527719,180.687390866
321,1605.000000,603.138634909,34.591780449,180.641780464
322,1610.000000,598.713142272,36.918368247,180.597012820
323,1615.000000,594.265999196,39.202826441,180.552147537
324,1620.000000,589.798048334,41.446794750,180.507188414
325,1625.000000,585.325138993,43.680717084,180.464543162
326,1630.000000,580.819855318,45.849048397,180.437005373
327,1635.000000,576.314571643,48.017379709,180.409467584
328,1640.000000,571.817549594,50.202906549,180.404411230
329,1645.000000,567.322804070,52.393171688,180.405549730
330,1650.000000,562.839603129,54.606790509,180.409250763
331,1655.000000,558.369666840,56.847242566,180.415896129
332,1660.000000,553.899303284,59.086838713,180.423104282
333,1665.000000,549.426576334,61.321700477,180.433425428
334,1670.000000,544.953849384,63.556562242,180.443746575
335,1675.000000,540.483858191,65.796883146,180.455337145
336,1680.000000,536.014333978,68.038135898,180.467144400
337,1685.000000,531.544328319,70.278424408,180.479618417
